team,bs,bs_rank
brazil,0.24003405494069271,1
netherlands,0.22857663484307267,2
iceland,0.21162993605366756,3
pakistan,0.20773857004745905,4
china,0.20698932266745168,5
peru,0.2062592814276477,6
thailand,0.2057230966845305,7
india,0.20006298178399348,8
new_zealand,0.19624208524603595,9
ethiopia,0.18980328979792682,10
serbia,0.18347786913707215,11
philippines,0.18315042576870813,12
indonesia,0.18203902321273693,13
panama,0.17422464374999183,14
guatemala,0.17394561645030496,15
morocco,0.17136691660421907,16
uk,0.16897270257854666,17
uae,0.1673515928161683,18
singapore,0.16656456562417277,19
canada,0.1619125574970744,20
vietnam,0.1618075575481331,21
south_korea,0.16009506138731952,22
mexico,0.1597036271123839,23
saudi_arabia,0.15509424205963646,24
oman,0.15240426310976832,25
switzerland,0.1498596805218951,26
france,0.14722618819426883,27
germany,0.14233366447766224,28
kazakhstan,0.14166327094657782,29
usa,0.13603143221895903,30
rwanda,0.1260239165140204,31
mongolia,0.12503909643712735,32
