method,size,components,AUC,Brier,NDCG,MAP@16,Sp_Standings,Tau_Standings,Sp_Pyth,Tau_Pyth,weights,rank_q,prob_q,SubScore
elo_mov+mult_elo+ip,3,Elo(538-MOV) + Mult-Elo + IP,0.6284,0.2339,0.9978,0.9465,0.8973,0.7427,0.9802,0.8952,Elo(538-MOV)=55% / Mult-Elo=0% / IP=45%,0.8692518690459208,0.9775628861605246,0.9234
elo_mov+lin_elo+ip,3,Elo(538-MOV) + Lin-Elo + IP,0.6284,0.2339,0.9978,0.9465,0.8973,0.7427,0.9802,0.8952,Elo(538-MOV)=55% / Lin-Elo=0% / IP=45%,0.8692518690459208,0.9775628861605246,0.9234
elo_mov+log_elo+ip,3,Elo(538-MOV) + Log-Elo + IP,0.6284,0.2339,0.9978,0.9465,0.8973,0.7427,0.9802,0.8952,Elo(538-MOV)=55% / Log-Elo=0% / IP=45%,0.8692518690459208,0.9775628861605246,0.9234
elo_mov+ip+parx,3,Elo(538-MOV) + IP + PARX,0.6284,0.2339,0.9978,0.9465,0.8973,0.7427,0.9802,0.8952,Elo(538-MOV)=55% / IP=45% / PARX=-0%,0.8692518690459208,0.9775628861605246,0.9234
elo_mov+ip+bs,3,Elo(538-MOV) + IP + BS,0.6284,0.2338,0.9978,0.9483,0.9032,0.7508,0.9736,0.8790,Elo(538-MOV)=55% / IP=35% / BS=10%,0.8590455644233446,0.9788251740141038,0.9189
elo_mov+ip,2,Elo(538-MOV) + IP,0.6284,0.2338,0.9977,0.9412,0.8928,0.7386,0.9765,0.8911,Elo(538-MOV)=57% / IP=43%,0.8532668822978938,0.977899610658691,0.9156
elo_mov+ja_elo+ip,3,Elo(538-MOV) + J-A-Elo + IP,0.6279,0.2338,0.9975,0.9374,0.8863,0.7345,0.9714,0.8790,Elo(538-MOV)=35% / J-A-Elo=20% / IP=45%,0.8334774566896491,0.9808713395415889,0.9072
elo_basic+ip,2,Elo(basic) + IP,0.6292,0.2335,0.9982,0.9227,0.8933,0.7386,0.9509,0.8266,Elo(basic)=56% / IP=44%,0.7797106592927308,1.0,0.8899
elo_basic+elo_mov+ip,3,Elo(basic) + Elo(538-MOV) + IP,0.6292,0.2335,0.9982,0.9227,0.8933,0.7386,0.9509,0.8266,Elo(basic)=50% / Elo(538-MOV)=5% / IP=45%,0.7797106592927308,0.9999820626320066,0.8898
elo_basic+lin_elo+ip,3,Elo(basic) + Lin-Elo + IP,0.6294,0.2335,0.9982,0.9227,0.8933,0.7386,0.9509,0.8266,Elo(basic)=55% / Lin-Elo=0% / IP=45%,0.7797106592927308,0.9999156278844493,0.8898
elo_basic+ja_elo+ip,3,Elo(basic) + J-A-Elo + IP,0.6294,0.2335,0.9982,0.9227,0.8933,0.7386,0.9509,0.8266,Elo(basic)=55% / J-A-Elo=0% / IP=45%,0.7797106592927308,0.9999156278844493,0.8898
elo_basic+log_elo+ip,3,Elo(basic) + Log-Elo + IP,0.6294,0.2335,0.9982,0.9227,0.8933,0.7386,0.9509,0.8266,Elo(basic)=55% / Log-Elo=0% / IP=45%,0.7797106592927308,0.9999156278844493,0.8898
elo_basic+ip+bs,3,Elo(basic) + IP + BS,0.6294,0.2335,0.9982,0.9227,0.8933,0.7386,0.9509,0.8266,Elo(basic)=55% / IP=45% / BS=-0%,0.7797106592927308,0.9999156278844493,0.8898
elo_basic+ip+parx,3,Elo(basic) + IP + PARX,0.6294,0.2335,0.9982,0.9227,0.8933,0.7386,0.9509,0.8266,Elo(basic)=55% / IP=45% / PARX=-0%,0.7797106592927308,0.9999156278844493,0.8898
