team,elo_basic,elo_basic_rank,elo_mov,elo_mov_rank,ip,ip_rank,avg_rank,combined_rank
brazil,1631.207473916587,1,1648.3761229811935,1,0.9993587331205455,1,1.0,1
netherlands,1596.3207438298512,2,1591.29217533805,4,0.8127514677203287,3,3.0,2
peru,1552.7462380625864,8,1597.4951086846615,2,0.9258857171922277,2,4.0,3
china,1558.328762581824,5,1594.9788538960688,3,0.5453096072552329,5,4.333333333333333,4
thailand,1581.1096746015244,3,1578.2091101715564,6,0.5280915555324325,6,5.0,5
pakistan,1553.6473204257236,6,1578.2357229103682,5,0.5860923483445235,4,5.0,6
iceland,1569.562780744415,4,1576.0856791631002,7,0.370653159055437,9,6.666666666666667,7
ethiopia,1540.1854764287293,9,1557.041999361786,8,0.2384509635686391,11,9.333333333333334,8
india,1532.8608553400077,10,1541.9746154763216,10,0.3126061188842065,10,10.0,9
new_zealand,1553.0218919346917,7,1555.5778831215503,9,-0.08670677752025817,16,10.666666666666666,10
serbia,1524.7185911782103,11,1508.2000608682083,14,0.051347369485957146,14,13.0,11
guatemala,1517.824744086117,12,1514.8877976298586,12,-0.06842667913874376,15,13.0,12
indonesia,1511.5843448281528,14,1510.5281594223372,13,0.15762461782967305,12,13.0,13
philippines,1511.7425108922653,13,1503.6762560202042,15,0.13017268661194156,13,13.666666666666666,14
uk,1469.4417299025708,24,1526.3312544521173,11,0.4026299032387793,8,14.333333333333334,15
panama,1470.9809242269719,23,1485.5494570261762,17,0.476102919167097,7,15.666666666666666,16
south_korea,1489.7663028485345,16,1471.7859108393159,19,-0.1697216051437909,18,17.666666666666668,17
morocco,1504.0649266531602,15,1491.0626901933776,16,-0.2607355830178189,22,17.666666666666668,18
singapore,1484.6540222110111,17,1471.2434272826858,20,-0.1908360058507807,19,18.666666666666668,19
saudi_arabia,1471.6983560452368,21,1467.7323428419852,22,-0.12656621402246024,17,20.0,20
switzerland,1472.723496635346,20,1475.9595053801909,18,-0.2921375386189311,24,20.666666666666668,21
vietnam,1474.7946094274746,19,1462.6126805578272,23,-0.4047110343182502,25,22.333333333333332,22
mexico,1460.6007312409904,26,1469.971890318856,21,-0.19469517808063605,20,22.333333333333332,23
germany,1454.859188745114,27,1449.192152771701,25,-0.24120680598760927,21,24.333333333333332,24
uae,1475.955973014335,18,1440.4776875572243,28,-0.5863169783666313,29,25.0,25
canada,1471.25847039978,22,1447.527382335543,26,-0.4812173768101446,27,25.0,26
oman,1464.5764676996853,25,1459.1142465067437,24,-0.4586544519377218,26,25.0,27
france,1437.0814641444595,28,1443.3817859756848,27,-0.2920450439064451,23,26.0,28
usa,1428.0406400271377,30,1408.0878403120457,29,-0.5518230565899901,28,29.0,29
kazakhstan,1430.8283803596153,29,1397.3504881814788,31,-0.6675801918972559,30,30.0,30
mongolia,1405.3257876970763,31,1402.58263092015,30,-0.7499211294545414,32,31.0,31
rwanda,1398.4871198708156,32,1373.4770815016318,32,-0.7137755163450106,31,31.666666666666668,32
