team,elo_basic,elo_basic_rank,ip,ip_rank,bs,bs_rank,avg_rank,combined_rank
brazil,1631.207473916587,1,0.9993587331205455,1,0.24003405494069271,1,1.0,1
netherlands,1596.3207438298512,2,0.8127514677203287,3,0.22857663484307267,2,2.3333333333333335,2
pakistan,1553.6473204257236,6,0.5860923483445235,4,0.20773857004745905,4,4.666666666666667,3
china,1558.328762581824,5,0.5453096072552329,5,0.20698932266745168,5,5.0,4
thailand,1581.1096746015244,3,0.5280915555324325,6,0.2057230966845305,7,5.333333333333333,5
iceland,1569.562780744415,4,0.370653159055437,9,0.21162993605366756,3,5.333333333333333,6
peru,1552.7462380625864,8,0.9258857171922277,2,0.2062592814276477,6,5.333333333333333,7
india,1532.8608553400077,10,0.3126061188842065,10,0.20006298178399348,8,9.333333333333334,8
ethiopia,1540.1854764287293,9,0.2384509635686391,11,0.18980328979792682,10,10.0,9
new_zealand,1553.0218919346917,7,-0.08670677752025817,16,0.19624208524603595,9,10.666666666666666,10
serbia,1524.7185911782103,11,0.051347369485957146,14,0.18347786913707215,11,12.0,11
philippines,1511.7425108922653,13,0.13017268661194156,13,0.18315042576870813,12,12.666666666666666,12
indonesia,1511.5843448281528,14,0.15762461782967305,12,0.18203902321273693,13,13.0,13
guatemala,1517.824744086117,12,-0.06842667913874376,15,0.17394561645030496,15,14.0,14
panama,1470.9809242269719,23,0.476102919167097,7,0.17422464374999183,14,14.666666666666666,15
uk,1469.4417299025708,24,0.4026299032387793,8,0.16897270257854666,17,16.333333333333332,16
morocco,1504.0649266531602,15,-0.2607355830178189,22,0.17136691660421907,16,17.666666666666668,17
singapore,1484.6540222110111,17,-0.1908360058507807,19,0.16656456562417277,19,18.333333333333332,18
south_korea,1489.7663028485345,16,-0.1697216051437909,18,0.16009506138731952,22,18.666666666666668,19
saudi_arabia,1471.6983560452368,21,-0.12656621402246024,17,0.15509424205963646,24,20.666666666666668,20
uae,1475.955973014335,18,-0.5863169783666313,29,0.1673515928161683,18,21.666666666666668,21
vietnam,1474.7946094274746,19,-0.4047110343182502,25,0.1618075575481331,21,21.666666666666668,22
canada,1471.25847039978,22,-0.4812173768101446,27,0.1619125574970744,20,23.0,23
mexico,1460.6007312409904,26,-0.19469517808063605,20,0.1597036271123839,23,23.0,24
switzerland,1472.723496635346,20,-0.2921375386189311,24,0.1498596805218951,26,23.333333333333332,25
oman,1464.5764676996853,25,-0.4586544519377218,26,0.15240426310976832,25,25.333333333333332,26
germany,1454.859188745114,27,-0.24120680598760927,21,0.14233366447766224,28,25.333333333333332,27
france,1437.0814641444595,28,-0.2920450439064451,23,0.14722618819426883,27,26.0,28
kazakhstan,1430.8283803596153,29,-0.6675801918972559,30,0.14166327094657782,29,29.333333333333332,29
usa,1428.0406400271377,30,-0.5518230565899901,28,0.13603143221895903,30,29.333333333333332,30
rwanda,1398.4871198708156,32,-0.7137755163450106,31,0.1260239165140204,31,31.333333333333332,31
mongolia,1405.3257876970763,31,-0.7499211294545414,32,0.12503909643712735,32,31.666666666666668,32
