team,elo_basic,elo_basic_rank,ip,ip_rank,parx,parx_rank,avg_rank,combined_rank
brazil,1631.207473916587,1,0.9993587331205455,1,0.4191150238686535,1,1.0,1
netherlands,1596.3207438298512,2,0.8127514677203287,3,0.289503148726408,6,3.6666666666666665,2
china,1558.328762581824,5,0.5453096072552329,5,0.3871389873130332,2,4.0,3
pakistan,1553.6473204257236,6,0.5860923483445235,4,0.34702410479619095,3,4.333333333333333,4
thailand,1581.1096746015244,3,0.5280915555324325,6,0.210110300656033,8,5.666666666666667,5
peru,1552.7462380625864,8,0.9258857171922277,2,0.222336029067232,7,5.666666666666667,6
iceland,1569.562780744415,4,0.370653159055437,9,0.29851674014384283,5,6.0,7
new_zealand,1553.0218919346917,7,-0.08670677752025817,16,0.31170023293846644,4,9.0,8
ethiopia,1540.1854764287293,9,0.2384509635686391,11,0.18416957299690656,9,9.666666666666666,9
india,1532.8608553400077,10,0.3126061188842065,10,0.07640301324132776,12,10.666666666666666,10
serbia,1524.7185911782103,11,0.051347369485957146,14,0.08852647305187876,11,12.0,11
indonesia,1511.5843448281528,14,0.15762461782967305,12,0.020320276411134326,14,13.333333333333334,12
uk,1469.4417299025708,24,0.4026299032387793,8,0.1303239023963869,10,14.0,13
guatemala,1517.824744086117,12,-0.06842667913874376,15,-0.035957937739801604,16,14.333333333333334,14
philippines,1511.7425108922653,13,0.13017268661194156,13,-0.10092927657098105,19,15.0,15
panama,1470.9809242269719,23,0.476102919167097,7,-0.09893057935549979,18,16.0,16
morocco,1504.0649266531602,15,-0.2607355830178189,22,0.02314088481936262,13,16.666666666666668,17
south_korea,1489.7663028485345,16,-0.1697216051437909,18,-0.12615006124116182,22,18.666666666666668,18
saudi_arabia,1471.6983560452368,21,-0.12656621402246024,17,-0.1148100378938613,20,19.333333333333332,19
mexico,1460.6007312409904,26,-0.19469517808063605,20,-0.027950192668840617,15,20.333333333333332,20
singapore,1484.6540222110111,17,-0.1908360058507807,19,-0.2169559535864355,29,21.666666666666668,21
vietnam,1474.7946094274746,19,-0.4047110343182502,25,-0.14950677645174124,24,22.666666666666668,22
oman,1464.5764676996853,25,-0.4586544519377218,26,-0.06543557687224008,17,22.666666666666668,23
uae,1475.955973014335,18,-0.5863169783666313,29,-0.11903111794918328,21,22.666666666666668,24
switzerland,1472.723496635346,20,-0.2921375386189311,24,-0.1875753134837748,27,23.666666666666668,25
germany,1454.859188745114,27,-0.24120680598760927,21,-0.1480388202059489,23,23.666666666666668,26
france,1437.0814641444595,28,-0.2920450439064451,23,-0.15109101242693246,25,25.333333333333332,27
canada,1471.25847039978,22,-0.4812173768101446,27,-0.19175035281503888,28,25.666666666666668,28
mongolia,1405.3257876970763,31,-0.7499211294545414,32,-0.18236870133010225,26,29.666666666666668,29
kazakhstan,1430.8283803596153,29,-0.6675801918972559,30,-0.2676505484801464,30,29.666666666666668,30
usa,1428.0406400271377,30,-0.5518230565899901,28,-0.3371555135691825,31,29.666666666666668,31
rwanda,1398.4871198708156,32,-0.7137755163450106,31,-0.3792782142921158,32,31.666666666666668,32
