team,elo_basic,elo_basic_rank,ip,ip_rank,avg_rank,combined_rank
brazil,1631.207473916587,1,0.9993587331205455,1,1.0,1
netherlands,1596.3207438298512,2,0.8127514677203287,3,2.5,2
thailand,1581.1096746015244,3,0.5280915555324325,6,4.5,3
china,1558.328762581824,5,0.5453096072552329,5,5.0,4
pakistan,1553.6473204257236,6,0.5860923483445235,4,5.0,5
peru,1552.7462380625864,8,0.9258857171922277,2,5.0,6
iceland,1569.562780744415,4,0.370653159055437,9,6.5,7
ethiopia,1540.1854764287293,9,0.2384509635686391,11,10.0,8
india,1532.8608553400077,10,0.3126061188842065,10,10.0,9
new_zealand,1553.0218919346917,7,-0.08670677752025817,16,11.5,10
serbia,1524.7185911782103,11,0.051347369485957146,14,12.5,11
philippines,1511.7425108922653,13,0.13017268661194156,13,13.0,12
indonesia,1511.5843448281528,14,0.15762461782967305,12,13.0,13
guatemala,1517.824744086117,12,-0.06842667913874376,15,13.5,14
panama,1470.9809242269719,23,0.476102919167097,7,15.0,15
uk,1469.4417299025708,24,0.4026299032387793,8,16.0,16
south_korea,1489.7663028485345,16,-0.1697216051437909,18,17.0,17
singapore,1484.6540222110111,17,-0.1908360058507807,19,18.0,18
morocco,1504.0649266531602,15,-0.2607355830178189,22,18.5,19
saudi_arabia,1471.6983560452368,21,-0.12656621402246024,17,19.0,20
vietnam,1474.7946094274746,19,-0.4047110343182502,25,22.0,21
switzerland,1472.723496635346,20,-0.2921375386189311,24,22.0,22
mexico,1460.6007312409904,26,-0.19469517808063605,20,23.0,23
uae,1475.955973014335,18,-0.5863169783666313,29,23.5,24
germany,1454.859188745114,27,-0.24120680598760927,21,24.0,25
canada,1471.25847039978,22,-0.4812173768101446,27,24.5,26
oman,1464.5764676996853,25,-0.4586544519377218,26,25.5,27
france,1437.0814641444595,28,-0.2920450439064451,23,25.5,28
usa,1428.0406400271377,30,-0.5518230565899901,28,29.0,29
kazakhstan,1430.8283803596153,29,-0.6675801918972559,30,29.5,30
mongolia,1405.3257876970763,31,-0.7499211294545414,32,31.5,31
rwanda,1398.4871198708156,32,-0.7137755163450106,31,31.5,32
