team,elo_basic,elo_basic_rank,lin_elo,lin_elo_rank,ip,ip_rank,avg_rank,combined_rank
brazil,1631.207473916587,1,1676.7816941420485,1,0.9993587331205455,1,1.0,1
netherlands,1596.3207438298512,2,1604.3471240329138,5,0.8127514677203287,3,3.3333333333333335,2
china,1558.328762581824,5,1634.2501430081056,3,0.5453096072552329,5,4.333333333333333,3
thailand,1581.1096746015244,3,1602.8033152321505,7,0.5280915555324325,6,5.333333333333333,4
pakistan,1553.6473204257236,6,1603.7091206606376,6,0.5860923483445235,4,5.333333333333333,5
iceland,1569.562780744415,4,1616.7137486986403,4,0.370653159055437,9,5.666666666666667,6
peru,1552.7462380625864,8,1572.2118532666032,9,0.9258857171922277,2,6.333333333333333,7
new_zealand,1553.0218919346917,7,1640.3739409639902,2,-0.08670677752025817,16,8.333333333333334,8
ethiopia,1540.1854764287293,9,1585.959087785896,8,0.2384509635686391,11,9.333333333333334,9
india,1532.8608553400077,10,1525.3385206866012,11,0.3126061188842065,10,10.333333333333334,10
guatemala,1517.824744086117,12,1532.699277867801,10,-0.06842667913874376,15,12.333333333333334,11
serbia,1524.7185911782103,11,1517.748581599242,14,0.051347369485957146,14,13.0,12
indonesia,1511.5843448281528,14,1518.7117032267913,13,0.15762461782967305,12,13.0,13
philippines,1511.7425108922653,13,1494.776217277864,16,0.13017268661194156,13,14.0,14
uk,1469.4417299025708,24,1501.338905861452,15,0.4026299032387793,8,15.666666666666666,15
morocco,1504.0649266531602,15,1522.8286445395356,12,-0.2607355830178189,22,16.333333333333332,16
panama,1470.9809242269719,23,1408.6886198521015,28,0.476102919167097,7,19.333333333333332,17
south_korea,1489.7663028485345,16,1447.4167449492718,24,-0.1697216051437909,18,19.333333333333332,18
saudi_arabia,1471.6983560452368,21,1454.257111213012,22,-0.12656621402246024,17,20.0,19
switzerland,1472.723496635346,20,1476.4820393176947,17,-0.2921375386189311,24,20.333333333333332,20
singapore,1484.6540222110111,17,1437.0494720829813,25,-0.1908360058507807,19,20.333333333333332,21
vietnam,1474.7946094274746,19,1456.2715997495532,20,-0.4047110343182502,25,21.333333333333332,22
mexico,1460.6007312409904,26,1455.579171115171,21,-0.19469517808063605,20,22.333333333333332,23
canada,1471.25847039978,22,1456.8100477086641,19,-0.4812173768101446,27,22.666666666666668,24
oman,1464.5764676996853,25,1458.8511856626424,18,-0.4586544519377218,26,23.0,25
uae,1475.955973014335,18,1447.9562097209794,23,-0.5863169783666313,29,23.333333333333332,26
germany,1454.859188745114,27,1429.1345830255134,26,-0.24120680598760927,21,24.666666666666668,27
france,1437.0814641444595,28,1402.2932970327367,29,-0.2920450439064451,23,26.666666666666668,28
kazakhstan,1430.8283803596153,29,1410.7317910053844,27,-0.6675801918972559,30,28.666666666666668,29
usa,1428.0406400271377,30,1371.3478207442008,31,-0.5518230565899901,28,29.666666666666668,30
mongolia,1405.3257876970763,31,1395.329560313199,30,-0.7499211294545414,32,31.0,31
rwanda,1398.4871198708156,32,1341.2088676566216,32,-0.7137755163450106,31,31.666666666666668,32
