team,elo_basic,elo_basic_rank
brazil,1631.207473916587,1
netherlands,1596.3207438298512,2
thailand,1581.1096746015244,3
iceland,1569.562780744415,4
china,1558.328762581824,5
pakistan,1553.6473204257236,6
new_zealand,1553.0218919346917,7
peru,1552.7462380625864,8
ethiopia,1540.1854764287293,9
india,1532.8608553400077,10
serbia,1524.7185911782103,11
guatemala,1517.824744086117,12
philippines,1511.7425108922653,13
indonesia,1511.5843448281528,14
morocco,1504.0649266531602,15
south_korea,1489.7663028485345,16
singapore,1484.6540222110111,17
uae,1475.955973014335,18
vietnam,1474.7946094274746,19
switzerland,1472.723496635346,20
saudi_arabia,1471.6983560452368,21
canada,1471.25847039978,22
panama,1470.9809242269719,23
uk,1469.4417299025708,24
oman,1464.5764676996853,25
mexico,1460.6007312409904,26
germany,1454.859188745114,27
france,1437.0814641444595,28
kazakhstan,1430.8283803596153,29
usa,1428.0406400271377,30
mongolia,1405.3257876970763,31
rwanda,1398.4871198708156,32
