team,elo_mov,elo_mov_rank,avg_rank_x,bscore,bs_rank,avg_rank_y,avg_rank,combined_rank
brazil,1648.3761229811935,1,1.0,0.24003405494069271,1,1.0,1.0,1
netherlands,1591.29217533805,4,4.0,0.22857663484307267,2,2.0,3.0,2
peru,1597.4951086846615,2,2.0,0.2062592814276477,6,6.0,4.0,3
china,1594.9788538960688,3,3.0,0.20698932266745168,5,5.0,4.0,4
pakistan,1578.2357229103682,5,5.0,0.20773857004745905,4,4.0,4.5,5
iceland,1576.0856791631002,7,7.0,0.21162993605366756,3,3.0,5.0,6
thailand,1578.2091101715564,6,6.0,0.2057230966845305,7,7.0,6.5,7
ethiopia,1557.041999361786,8,8.0,0.18980328979792682,10,10.0,9.0,8
new_zealand,1555.5778831215503,9,9.0,0.19624208524603595,9,9.0,9.0,9
india,1541.9746154763216,10,10.0,0.20006298178399348,8,8.0,9.0,10
serbia,1508.2000608682083,14,14.0,0.18347786913707215,11,11.0,12.5,11
indonesia,1510.5281594223372,13,13.0,0.18203902321273693,13,13.0,13.0,12
guatemala,1514.8877976298586,12,12.0,0.17394561645030496,15,15.0,13.5,13
philippines,1503.6762560202042,15,15.0,0.18315042576870813,12,12.0,13.5,14
uk,1526.3312544521173,11,11.0,0.16897270257854666,17,17.0,14.0,15
panama,1485.5494570261762,17,17.0,0.17422464374999183,14,14.0,15.5,16
morocco,1491.0626901933776,16,16.0,0.17136691660421907,16,16.0,16.0,17
singapore,1471.2434272826858,20,20.0,0.16656456562417277,19,19.0,19.5,18
south_korea,1471.7859108393159,19,19.0,0.16009506138731952,22,22.0,20.5,19
switzerland,1475.9595053801909,18,18.0,0.1498596805218951,26,26.0,22.0,20
mexico,1469.971890318856,21,21.0,0.1597036271123839,23,23.0,22.0,21
vietnam,1462.6126805578272,23,23.0,0.1618075575481331,21,21.0,22.0,22
saudi_arabia,1467.7323428419852,22,22.0,0.15509424205963646,24,24.0,23.0,23
canada,1447.527382335543,26,26.0,0.1619125574970744,20,20.0,23.0,24
uae,1440.4776875572243,28,28.0,0.1673515928161683,18,18.0,23.0,25
oman,1459.1142465067437,24,24.0,0.15240426310976832,25,25.0,24.5,26
germany,1449.192152771701,25,25.0,0.14233366447766224,28,28.0,26.5,27
france,1443.3817859756848,27,27.0,0.14722618819426883,27,27.0,27.0,28
usa,1408.0878403120457,29,29.0,0.13603143221895903,30,30.0,29.5,29
kazakhstan,1397.3504881814788,31,31.0,0.14166327094657782,29,29.0,30.0,30
mongolia,1402.58263092015,30,30.0,0.12503909643712735,32,32.0,31.0,31
rwanda,1373.4770815016318,32,32.0,0.1260239165140204,31,31.0,31.5,32
