team,elo_mov,elo_mov_rank
brazil,1648.3761229811935,1
peru,1597.4951086846615,2
china,1594.9788538960688,3
netherlands,1591.29217533805,4
pakistan,1578.2357229103682,5
thailand,1578.2091101715564,6
iceland,1576.0856791631002,7
ethiopia,1557.041999361786,8
new_zealand,1555.5778831215503,9
india,1541.9746154763216,10
uk,1526.3312544521173,11
guatemala,1514.8877976298586,12
indonesia,1510.5281594223372,13
serbia,1508.2000608682083,14
philippines,1503.6762560202042,15
morocco,1491.0626901933776,16
panama,1485.5494570261762,17
switzerland,1475.9595053801909,18
south_korea,1471.7859108393159,19
singapore,1471.2434272826858,20
mexico,1469.971890318856,21
saudi_arabia,1467.7323428419852,22
vietnam,1462.6126805578272,23
oman,1459.1142465067437,24
germany,1449.192152771701,25
canada,1447.527382335543,26
france,1443.3817859756848,27
uae,1440.4776875572243,28
usa,1408.0878403120457,29
mongolia,1402.58263092015,30
kazakhstan,1397.3504881814788,31
rwanda,1373.4770815016318,32
