Rank,Method,AUC,Brier,NDCG,MAP@16,Tau_Pyth,SubScore,Weights
1,Elo(538-MOV) + Mult-Elo + IP,0.6284,0.2339,0.9978,0.9465,0.8952,0.9234,55% / 0% / 45%
2,Elo(538-MOV) + Lin-Elo + IP,0.6284,0.2339,0.9978,0.9465,0.8952,0.9234,55% / 0% / 45%
3,Elo(538-MOV) + Log-Elo + IP,0.6284,0.2339,0.9978,0.9465,0.8952,0.9234,55% / 0% / 45%
4,Elo(538-MOV) + IP + PARX,0.6284,0.2339,0.9978,0.9465,0.8952,0.9234,55% / 45% / 0%
5,Elo(538-MOV) + IP + BS,0.6284,0.2338,0.9978,0.9483,0.8790,0.9189,55% / 35% / 10%
6,Elo(538-MOV) + IP,0.6284,0.2338,0.9977,0.9412,0.8911,0.9156,57% / 43%
7,Elo(538-MOV) + J-A-Elo + IP,0.6279,0.2338,0.9975,0.9374,0.8790,0.9072,35% / 20% / 45%
8,Elo(basic) + IP,0.6292,0.2335,0.9982,0.9227,0.8266,0.8899,56% / 44%
9,Elo(basic) + Elo(538-MOV) + IP,0.6292,0.2335,0.9982,0.9227,0.8266,0.8898,50% / 5% / 45%
10,Elo(basic) + Lin-Elo + IP,0.6294,0.2335,0.9982,0.9227,0.8266,0.8898,55% / 0% / 45%
11,Elo(basic) + J-A-Elo + IP,0.6294,0.2335,0.9982,0.9227,0.8266,0.8898,55% / 0% / 45%
12,Elo(basic) + Log-Elo + IP,0.6294,0.2335,0.9982,0.9227,0.8266,0.8898,55% / 0% / 45%
13,Elo(basic) + IP + BS,0.6294,0.2335,0.9982,0.9227,0.8266,0.8898,55% / 45% / 0%
14,Elo(basic) + IP + PARX,0.6294,0.2335,0.9982,0.9227,0.8266,0.8898,55% / 45% / 0%
15,Elo(basic) + Mult-Elo + IP,0.6294,0.2335,0.9982,0.9227,0.8266,0.8898,55% / 0% / 45%
16,Log-Elo + IP + BS,0.6265,0.2343,0.9979,0.9300,0.8387,0.8738,45% / 55% / 0%
17,Log-Elo + IP + PARX,0.6265,0.2343,0.9979,0.9300,0.8387,0.8738,45% / 55% / 0%
18,Lin-Elo + Log-Elo + IP,0.6265,0.2343,0.9979,0.9300,0.8387,0.8738,0% / 45% / 55%
19,Mult-Elo + Log-Elo + IP,0.6265,0.2343,0.9979,0.9300,0.8387,0.8738,0% / 45% / 55%
20,J-A-Elo + Log-Elo + IP,0.6271,0.2340,0.9979,0.9232,0.8306,0.8736,50% / 0% / 50%
21,J-A-Elo + Mult-Elo + IP,0.6271,0.2340,0.9979,0.9232,0.8306,0.8736,50% / 0% / 50%
22,Lin-Elo + J-A-Elo + IP,0.6271,0.2340,0.9979,0.9232,0.8306,0.8736,0% / 50% / 50%
23,J-A-Elo + IP + PARX,0.6271,0.2340,0.9979,0.9232,0.8306,0.8736,50% / 50% / 0%
24,J-A-Elo + IP + BS,0.6271,0.2340,0.9979,0.9232,0.8306,0.8736,50% / 50% / 0%
25,Lin-Elo + Mult-Elo + IP,0.6259,0.2352,0.9974,0.9370,0.8871,0.8677,35% / 0% / 65%
26,Lin-Elo + IP + BS,0.6259,0.2352,0.9974,0.9370,0.8871,0.8677,35% / 65% / 0%
27,Lin-Elo + IP + PARX,0.6259,0.2352,0.9974,0.9370,0.8871,0.8677,35% / 65% / 0%
28,Log-Elo + IP,0.6262,0.2343,0.9977,0.9238,0.8347,0.8638,46% / 54%
29,J-A-Elo + IP,0.6271,0.2340,0.9976,0.9169,0.8226,0.8615,51% / 49%
30,Mult-Elo + IP,0.6254,0.2352,0.9973,0.9370,0.8750,0.8611,36% / 64%
31,Mult-Elo + IP + PARX,0.6256,0.2352,0.9973,0.9370,0.8750,0.8610,35% / 65% / 0%
32,Mult-Elo + IP + BS,0.6256,0.2352,0.9973,0.9370,0.8750,0.8610,35% / 65% / 0%
33,Lin-Elo + IP,0.6256,0.2352,0.9973,0.9370,0.8710,0.8602,37% / 63%
34,IP + BS + PARX,0.6303,0.2373,0.9990,0.9678,0.8952,0.8568,55% / 45% / 0%
35,IP,0.6297,0.2378,0.9980,0.9602,0.9798,0.8562,—
36,IP + PARX,0.6297,0.2378,0.9980,0.9602,0.9798,0.8562,100% / 0%
37,IP + BS,0.6303,0.2373,0.9990,0.9678,0.8911,0.8552,54% / 46%
38,Elo(538-MOV) + Mult-Elo + BS,0.6257,0.2341,0.9971,0.9179,0.7782,0.8349,60% / 0% / 40%
39,Elo(538-MOV) + Log-Elo + BS,0.6257,0.2341,0.9971,0.9179,0.7782,0.8349,60% / 0% / 40%
40,Elo(538-MOV) + BS + PARX,0.6257,0.2341,0.9971,0.9179,0.7782,0.8349,60% / 40% / 0%
41,Elo(538-MOV) + J-A-Elo + BS,0.6257,0.2341,0.9971,0.9179,0.7782,0.8349,60% / 0% / 40%
42,Elo(538-MOV) + Lin-Elo + BS,0.6257,0.2341,0.9971,0.9179,0.7782,0.8349,60% / 0% / 40%
43,Elo(538-MOV) + BS,0.6258,0.2341,0.9971,0.9132,0.7702,0.8278,59% / 41%
44,Elo(basic) + Elo(538-MOV) + BS,0.6255,0.2341,0.9958,0.9156,0.7419,0.8064,20% / 40% / 40%
45,Elo(538-MOV) + Lin-Elo,0.6244,0.2361,0.9959,0.9240,0.8024,0.7817,100% / 0%
46,Elo(538-MOV),0.6244,0.2361,0.9959,0.9240,0.8024,0.7817,—
47,Elo(538-MOV) + Log-Elo,0.6244,0.2361,0.9959,0.9240,0.8024,0.7817,100% / 0%
48,Elo(538-MOV) + Lin-Elo + Mult-Elo,0.6244,0.2361,0.9959,0.9240,0.8024,0.7817,100% / 0% / 0%
49,Elo(538-MOV) + Lin-Elo + Log-Elo,0.6244,0.2361,0.9959,0.9240,0.8024,0.7817,100% / 0% / 0%
50,Elo(538-MOV) + Mult-Elo,0.6244,0.2361,0.9959,0.9240,0.8024,0.7817,100% / 0%
51,Elo(538-MOV) + Mult-Elo + Log-Elo,0.6244,0.2361,0.9959,0.9240,0.8024,0.7817,100% / 0% / 0%
52,Elo(538-MOV) + J-A-Elo,0.6241,0.2361,0.9960,0.9240,0.7984,0.7805,96% / 4%
53,Elo(basic) + BS,0.6233,0.2343,0.9962,0.9046,0.7016,0.7792,59% / 41%
54,Elo(basic) + J-A-Elo + BS,0.6231,0.2343,0.9962,0.9046,0.7016,0.7792,60% / 0% / 40%
55,Elo(basic) + Lin-Elo + BS,0.6231,0.2343,0.9962,0.9046,0.7016,0.7792,60% / 0% / 40%
56,Elo(basic) + BS + PARX,0.6231,0.2343,0.9962,0.9046,0.7016,0.7792,60% / 40% / 0%
57,Elo(basic) + Mult-Elo + BS,0.6231,0.2343,0.9962,0.9046,0.7016,0.7792,60% / 0% / 40%
58,Elo(basic) + Log-Elo + BS,0.6231,0.2343,0.9962,0.9046,0.7016,0.7792,60% / 0% / 40%
59,Elo(538-MOV) + J-A-Elo + Mult-Elo,0.6240,0.2361,0.9958,0.9171,0.7944,0.7704,95% / 5% / 0%
60,Elo(538-MOV) + J-A-Elo + Log-Elo,0.6240,0.2361,0.9958,0.9171,0.7944,0.7704,95% / 5% / 0%
61,Elo(538-MOV) + Lin-Elo + J-A-Elo,0.6240,0.2361,0.9958,0.9171,0.7944,0.7704,95% / 0% / 5%
62,Elo(basic) + Elo(538-MOV) + Log-Elo,0.6244,0.2357,0.9964,0.9102,0.7540,0.7642,45% / 55% / 0%
63,Elo(basic) + Elo(538-MOV) + Mult-Elo,0.6244,0.2357,0.9964,0.9102,0.7540,0.7642,45% / 55% / 0%
64,Elo(basic) + Elo(538-MOV) + J-A-Elo,0.6244,0.2357,0.9964,0.9102,0.7540,0.7642,45% / 55% / 0%
65,Elo(basic) + Elo(538-MOV) + Lin-Elo,0.6244,0.2357,0.9964,0.9102,0.7540,0.7642,45% / 55% / 0%
66,Elo(basic) + Elo(538-MOV) + PARX,0.6219,0.2350,0.9953,0.8985,0.7460,0.7603,55% / 25% / 20%
67,Elo(basic) + Elo(538-MOV),0.6243,0.2357,0.9963,0.9020,0.7500,0.7539,47% / 53%
68,Elo(538-MOV) + PARX,0.6224,0.2354,0.9939,0.9025,0.7863,0.7515,83% / 17%
69,Elo(538-MOV) + J-A-Elo + PARX,0.6224,0.2354,0.9941,0.9025,0.7782,0.7500,80% / 5% / 15%
70,Elo(538-MOV) + Mult-Elo + PARX,0.6227,0.2354,0.9939,0.9025,0.7823,0.7494,85% / 0% / 15%
71,Elo(538-MOV) + Lin-Elo + PARX,0.6227,0.2354,0.9939,0.9025,0.7823,0.7494,85% / 0% / 15%
72,Elo(538-MOV) + Log-Elo + PARX,0.6227,0.2354,0.9939,0.9025,0.7823,0.7494,85% / 0% / 15%
73,Elo(basic) + PARX,0.6207,0.2351,0.9952,0.8874,0.6855,0.7232,79% / 21%
74,J-A-Elo + BS,0.6205,0.2349,0.9949,0.8918,0.6694,0.7207,52% / 48%
75,Lin-Elo + J-A-Elo + BS,0.6207,0.2350,0.9949,0.8918,0.6694,0.7206,0% / 50% / 50%
76,J-A-Elo + Log-Elo + BS,0.6207,0.2350,0.9949,0.8918,0.6694,0.7206,50% / 0% / 50%
77,J-A-Elo + BS + PARX,0.6207,0.2350,0.9949,0.8918,0.6694,0.7206,50% / 50% / 0%
78,J-A-Elo + Mult-Elo + BS,0.6207,0.2350,0.9949,0.8918,0.6694,0.7206,50% / 0% / 50%
79,Elo(basic) + J-A-Elo + PARX,0.6208,0.2351,0.9951,0.8874,0.6774,0.7194,80% / 0% / 20%
80,Elo(basic) + Mult-Elo + PARX,0.6208,0.2351,0.9951,0.8874,0.6774,0.7194,80% / 0% / 20%
81,Elo(basic) + Log-Elo + PARX,0.6208,0.2351,0.9951,0.8874,0.6774,0.7194,80% / 0% / 20%
82,Elo(basic) + Lin-Elo + PARX,0.6208,0.2351,0.9951,0.8874,0.6774,0.7194,80% / 0% / 20%
83,Lin-Elo + Log-Elo + BS,0.6199,0.2356,0.9950,0.9016,0.6653,0.7119,0% / 45% / 55%
84,Log-Elo + BS,0.6199,0.2356,0.9950,0.9016,0.6653,0.7119,45% / 55%
85,Mult-Elo + Log-Elo + BS,0.6199,0.2356,0.9950,0.9016,0.6653,0.7119,0% / 45% / 55%
86,Log-Elo + BS + PARX,0.6199,0.2356,0.9950,0.9016,0.6653,0.7119,45% / 55% / 0%
87,BS,0.6250,0.2380,0.9963,0.9174,0.7137,0.6887,—
88,BS + PARX,0.6250,0.2380,0.9963,0.9174,0.7137,0.6887,100% / 0%
89,Lin-Elo + Mult-Elo + BS,0.6198,0.2364,0.9947,0.8964,0.6734,0.6826,35% / 0% / 65%
90,Lin-Elo + BS + PARX,0.6198,0.2364,0.9947,0.8964,0.6734,0.6826,35% / 65% / 0%
91,Lin-Elo + BS,0.6200,0.2364,0.9947,0.8964,0.6694,0.6813,34% / 66%
92,Mult-Elo + BS + PARX,0.6199,0.2366,0.9948,0.8964,0.6734,0.6791,30% / 70% / 0%
93,Mult-Elo + BS,0.6194,0.2366,0.9947,0.8964,0.6694,0.6767,32% / 68%
94,Elo(basic) + Mult-Elo + Log-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0% / 0%
95,Elo(basic) + Lin-Elo + J-A-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0% / 0%
96,Elo(basic) + Lin-Elo + Mult-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0% / 0%
97,Elo(basic) + Lin-Elo + Log-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0% / 0%
98,Elo(basic) + J-A-Elo + Mult-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0% / 0%
99,Elo(basic) + Lin-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0%
100,Elo(basic) + J-A-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0%
101,Elo(basic) + Log-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0%
102,Elo(basic) + Mult-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0%
103,Elo(basic),0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,—
104,Elo(basic) + J-A-Elo + Log-Elo,0.6210,0.2362,0.9950,0.8763,0.6452,0.6641,100% / 0% / 0%
105,J-A-Elo + Log-Elo + PARX,0.6146,0.2363,0.9917,0.8259,0.6411,0.5739,75% / 0% / 25%
106,Lin-Elo + J-A-Elo + PARX,0.6146,0.2363,0.9917,0.8259,0.6411,0.5739,0% / 75% / 25%
107,J-A-Elo + Mult-Elo + PARX,0.6146,0.2363,0.9917,0.8259,0.6411,0.5739,75% / 0% / 25%
108,Lin-Elo + J-A-Elo,0.6139,0.2376,0.9932,0.8396,0.6129,0.5562,0% / 100%
109,Lin-Elo + J-A-Elo + Log-Elo,0.6139,0.2376,0.9932,0.8396,0.6129,0.5562,0% / 100% / 0%
110,J-A-Elo + Mult-Elo,0.6139,0.2376,0.9932,0.8396,0.6129,0.5562,100% / 0%
111,Lin-Elo + J-A-Elo + Mult-Elo,0.6139,0.2376,0.9932,0.8396,0.6129,0.5562,0% / 100% / 0%
112,J-A-Elo + Mult-Elo + Log-Elo,0.6139,0.2376,0.9932,0.8396,0.6129,0.5562,100% / 0% / 0%
113,J-A-Elo + Log-Elo,0.6139,0.2376,0.9932,0.8396,0.6129,0.5562,100% / 0%
114,J-A-Elo,0.6139,0.2376,0.9932,0.8396,0.6129,0.5562,—
115,J-A-Elo + PARX,0.6146,0.2363,0.9906,0.8087,0.6331,0.5423,77% / 23%
116,Mult-Elo + Log-Elo + PARX,0.6124,0.2377,0.9848,0.7895,0.6048,0.4077,0% / 75% / 25%
117,Lin-Elo + Log-Elo + PARX,0.6124,0.2377,0.9848,0.7895,0.6048,0.4077,0% / 75% / 25%
118,Log-Elo + PARX,0.6124,0.2377,0.9848,0.7895,0.6048,0.4077,75% / 25%
119,Log-Elo,0.6113,0.2391,0.9853,0.8025,0.5806,0.3756,—
120,Mult-Elo + Log-Elo,0.6113,0.2391,0.9853,0.8025,0.5806,0.3756,0% / 100%
121,Lin-Elo + Log-Elo,0.6113,0.2391,0.9853,0.8025,0.5806,0.3756,0% / 100%
122,Lin-Elo + Mult-Elo + Log-Elo,0.6113,0.2391,0.9853,0.8025,0.5806,0.3756,0% / 0% / 100%
123,Lin-Elo + PARX,0.6087,0.2407,0.9865,0.8067,0.6048,0.3581,69% / 31%
124,Lin-Elo + Mult-Elo + PARX,0.6087,0.2407,0.9865,0.8067,0.6048,0.3581,70% / 0% / 30%
125,Mult-Elo + PARX,0.6074,0.2410,0.9844,0.7914,0.5887,0.3046,67% / 33%
126,Lin-Elo + Mult-Elo,0.6072,0.2427,0.9844,0.8006,0.5685,0.2565,100% / 0%
127,Lin-Elo,0.6072,0.2427,0.9844,0.8006,0.5685,0.2565,—
128,Mult-Elo,0.6048,0.2434,0.9839,0.7944,0.5484,0.2174,—
129,PARX,0.6082,0.2507,0.9884,0.8225,0.6613,0.1237,—
