team,iter_power,ip_rank,avg_rank_x,bscore,bs_rank,avg_rank_y,avg_rank,combined_rank
brazil,0.9993587331205455,1,1.0,0.24003405494069271,1,1.0,1.0,1
netherlands,0.8127514677203287,3,3.0,0.22857663484307267,2,2.0,2.5,2
peru,0.9258857171922277,2,2.0,0.2062592814276477,6,6.0,4.0,3
pakistan,0.5860923483445235,4,4.0,0.20773857004745905,4,4.0,4.0,4
china,0.5453096072552329,5,5.0,0.20698932266745168,5,5.0,5.0,5
iceland,0.370653159055437,9,9.0,0.21162993605366756,3,3.0,6.0,6
thailand,0.5280915555324325,6,6.0,0.2057230966845305,7,7.0,6.5,7
india,0.3126061188842065,10,10.0,0.20006298178399348,8,8.0,9.0,8
panama,0.476102919167097,7,7.0,0.17422464374999183,14,14.0,10.5,9
ethiopia,0.2384509635686391,11,11.0,0.18980328979792682,10,10.0,10.5,10
serbia,0.051347369485957146,14,14.0,0.18347786913707215,11,11.0,12.5,11
philippines,0.13017268661194156,13,13.0,0.18315042576870813,12,12.0,12.5,12
new_zealand,-0.08670677752025817,16,16.0,0.19624208524603595,9,9.0,12.5,13
uk,0.4026299032387793,8,8.0,0.16897270257854666,17,17.0,12.5,14
indonesia,0.15762461782967305,12,12.0,0.18203902321273693,13,13.0,12.5,15
guatemala,-0.06842667913874376,15,15.0,0.17394561645030496,15,15.0,15.0,16
singapore,-0.1908360058507807,19,19.0,0.16656456562417277,19,19.0,19.0,17
morocco,-0.2607355830178189,22,22.0,0.17136691660421907,16,16.0,19.0,18
south_korea,-0.1697216051437909,18,18.0,0.16009506138731952,22,22.0,20.0,19
saudi_arabia,-0.12656621402246024,17,17.0,0.15509424205963646,24,24.0,20.5,20
mexico,-0.19469517808063605,20,20.0,0.1597036271123839,23,23.0,21.5,21
vietnam,-0.4047110343182502,25,25.0,0.1618075575481331,21,21.0,23.0,22
uae,-0.5863169783666313,29,29.0,0.1673515928161683,18,18.0,23.5,23
canada,-0.4812173768101446,27,27.0,0.1619125574970744,20,20.0,23.5,24
germany,-0.24120680598760927,21,21.0,0.14233366447766224,28,28.0,24.5,25
france,-0.2920450439064451,23,23.0,0.14722618819426883,27,27.0,25.0,26
switzerland,-0.2921375386189311,24,24.0,0.1498596805218951,26,26.0,25.0,27
oman,-0.4586544519377218,26,26.0,0.15240426310976832,25,25.0,25.5,28
usa,-0.5518230565899901,28,28.0,0.13603143221895903,30,30.0,29.0,29
kazakhstan,-0.6675801918972559,30,30.0,0.14166327094657782,29,29.0,29.5,30
rwanda,-0.7137755163450106,31,31.0,0.1260239165140204,31,31.0,31.0,31
mongolia,-0.7499211294545414,32,32.0,0.12503909643712735,32,32.0,32.0,32
