team,ip,ip_rank
brazil,0.9993587331205455,1
peru,0.9258857171922277,2
netherlands,0.8127514677203287,3
pakistan,0.5860923483445235,4
china,0.5453096072552329,5
thailand,0.5280915555324325,6
panama,0.476102919167097,7
uk,0.4026299032387793,8
iceland,0.370653159055437,9
india,0.3126061188842065,10
ethiopia,0.2384509635686391,11
indonesia,0.15762461782967305,12
philippines,0.13017268661194156,13
serbia,0.051347369485957146,14
guatemala,-0.06842667913874376,15
new_zealand,-0.08670677752025817,16
saudi_arabia,-0.12656621402246024,17
south_korea,-0.1697216051437909,18
singapore,-0.1908360058507807,19
mexico,-0.19469517808063605,20
germany,-0.24120680598760927,21
morocco,-0.2607355830178189,22
france,-0.2920450439064451,23
switzerland,-0.2921375386189311,24
vietnam,-0.4047110343182502,25
oman,-0.4586544519377218,26
canada,-0.4812173768101446,27
usa,-0.5518230565899901,28
uae,-0.5863169783666313,29
kazakhstan,-0.6675801918972559,30
rwanda,-0.7137755163450106,31
mongolia,-0.7499211294545414,32
