team,ja_elo,ja_elo_rank
brazil,1625.2249187832147,1
netherlands,1587.1336758062548,2
thailand,1581.6204615629279,3
iceland,1574.5968175373798,4
new_zealand,1574.3397158070995,5
china,1567.8519791246565,6
pakistan,1559.2644877429393,7
ethiopia,1549.2065177749882,8
peru,1547.380439639917,9
serbia,1525.8348677482106,10
india,1522.2244039540033,11
guatemala,1522.0062259885474,12
indonesia,1514.843034891216,13
morocco,1514.1219042725832,14
philippines,1506.6149249943974,15
south_korea,1484.3206288694055,16
singapore,1476.4671380308073,17
uae,1475.0441330247518,18
switzerland,1474.002101956318,19
uk,1473.2721872325953,20
saudi_arabia,1472.7793168249136,21
canada,1469.003164364961,22
oman,1465.851819380637,23
vietnam,1464.9700000744408,24
mexico,1460.6121025684392,25
germany,1455.4760093854632,26
panama,1453.1048695052289,27
kazakhstan,1442.1711566132074,28
france,1430.9711788320062,29
usa,1420.1030800565761,30
mongolia,1413.8699386817834,31
rwanda,1395.71679897013,32
