team,lin_elo,lin_elo_rank
brazil,1676.7816941420485,1
new_zealand,1640.3739409639902,2
china,1634.2501430081056,3
iceland,1616.7137486986403,4
netherlands,1604.3471240329138,5
pakistan,1603.7091206606376,6
thailand,1602.8033152321505,7
ethiopia,1585.959087785896,8
peru,1572.2118532666032,9
guatemala,1532.699277867801,10
india,1525.3385206866012,11
morocco,1522.8286445395356,12
indonesia,1518.7117032267913,13
serbia,1517.748581599242,14
uk,1501.338905861452,15
philippines,1494.776217277864,16
switzerland,1476.4820393176947,17
oman,1458.8511856626424,18
canada,1456.8100477086641,19
vietnam,1456.2715997495532,20
mexico,1455.579171115171,21
saudi_arabia,1454.257111213012,22
uae,1447.9562097209794,23
south_korea,1447.4167449492718,24
singapore,1437.0494720829813,25
germany,1429.1345830255134,26
kazakhstan,1410.7317910053844,27
panama,1408.6886198521015,28
france,1402.2932970327367,29
mongolia,1395.329560313199,30
usa,1371.3478207442008,31
rwanda,1341.2088676566216,32
