team,log_elo,log_elo_rank
brazil,1651.3865412490268,1
new_zealand,1603.8302421656092,2
iceland,1595.3710951302621,3
thailand,1593.984232447403,4
netherlands,1593.7718480169467,5
china,1588.352742364756,6
pakistan,1576.4147815388694,7
ethiopia,1564.4776460489345,8
peru,1552.5996198274772,9
guatemala,1530.233933367144,10
serbia,1526.9174873201177,11
india,1526.3412166324824,12
morocco,1515.5755419362786,13
indonesia,1514.4219048872922,14
philippines,1506.949361106241,15
switzerland,1480.0561044534243,16
uk,1476.102657730564,17
singapore,1475.0522788061735,18
south_korea,1473.0774884197317,19
uae,1469.1993589978547,20
vietnam,1468.904049823943,21
canada,1467.6348869872475,22
saudi_arabia,1460.425305628451,23
mexico,1458.074921334171,24
oman,1457.4715854264957,25
germany,1439.8585082903987,26
panama,1430.6362296310176,27
kazakhstan,1428.769374723434,28
france,1415.7844341512257,29
mongolia,1397.7210709628528,30
usa,1395.624516507901,31
rwanda,1364.9790340862723,32
