team,mult_elo,mult_elo_rank
brazil,1673.6782590315195,1
new_zealand,1648.8296879364675,2
china,1630.7091480314516,3
iceland,1619.55047850567,4
pakistan,1604.8699164787413,5
thailand,1603.8904038063488,6
netherlands,1599.31282578471,7
ethiopia,1587.0170417136114,8
peru,1563.3818852510376,9
guatemala,1536.9830863320906,10
morocco,1524.6853024471507,11
india,1522.7692323121291,12
serbia,1520.175362733814,13
indonesia,1517.4365629701447,14
philippines,1497.0182927687908,15
uk,1493.2401804947704,16
switzerland,1480.0182743422065,17
canada,1462.2044654718095,18
vietnam,1459.9568302162882,19
mexico,1456.0561992142423,20
oman,1455.8600024376385,21
uae,1455.5811470974827,22
saudi_arabia,1452.2695613734243,23
south_korea,1446.5285394512928,24
singapore,1442.3673844494936,25
germany,1427.8237940911429,26
kazakhstan,1419.5219257910915,27
panama,1399.5263681532685,28
france,1399.4374120500975,29
mongolia,1393.6593957714865,30
usa,1367.0372087732997,31
rwanda,1338.603824717287,32
