team,parx,parx_rank
brazil,0.4191150238686535,1
china,0.3871389873130332,2
pakistan,0.34702410479619095,3
new_zealand,0.31170023293846644,4
iceland,0.29851674014384283,5
netherlands,0.289503148726408,6
peru,0.222336029067232,7
thailand,0.210110300656033,8
ethiopia,0.18416957299690656,9
uk,0.1303239023963869,10
serbia,0.08852647305187876,11
india,0.07640301324132776,12
morocco,0.02314088481936262,13
indonesia,0.020320276411134326,14
mexico,-0.027950192668840617,15
guatemala,-0.035957937739801604,16
oman,-0.06543557687224008,17
panama,-0.09893057935549979,18
philippines,-0.10092927657098105,19
saudi_arabia,-0.1148100378938613,20
uae,-0.11903111794918328,21
south_korea,-0.12615006124116182,22
germany,-0.1480388202059489,23
vietnam,-0.14950677645174124,24
france,-0.15109101242693246,25
mongolia,-0.18236870133010225,26
switzerland,-0.1875753134837748,27
canada,-0.19175035281503888,28
singapore,-0.2169559535864355,29
kazakhstan,-0.2676505484801464,30
usa,-0.3371555135691825,31
rwanda,-0.3792782142921158,32
