Elo(basic)_weight,IP_weight,AUC,Brier
0.215,0.785,0.6201545076545076,0.23709259740158387
0.216,0.784,0.6201119826119826,0.23709260230600562
0.214,0.786,0.6201993951993952,0.2370926240331586
0.217,0.783,0.620067095067095,0.23709263874642386
0.213,0.787,0.6202324702324703,0.23709268220072982
0.218,0.782,0.620010395010395,0.23709270672283853
0.212,0.788,0.6202679077679079,0.23709277190429745
0.219,0.781,0.61998676998677,0.23709280623524967
0.211,0.789,0.6203694953694954,0.23709289314386156
0.22,0.78,0.6199418824418824,0.2370929372836573
0.21,0.79,0.620400207900208,0.23709304591942218
0.221,0.779,0.6199158949158949,0.23709309986806143
0.209,0.791,0.6204639954639954,0.23709323023097928
0.222,0.778,0.6198544698544699,0.23709329398846196
0.20800000000000002,0.792,0.620504158004158,0.2370934460785328
0.223,0.777,0.6198213948213948,0.237093519644859
0.20700000000000002,0.7929999999999999,0.6205892080892081,0.2370936934620828
0.224,0.776,0.6197883197883197,0.23709377683725252
0.20600000000000002,0.794,0.6206529956529957,0.2370939723816293
0.225,0.775,0.6197221697221698,0.23709406556564253
0.20500000000000002,0.7949999999999999,0.6206884331884333,0.2370942828371722
0.226,0.774,0.6196890946890947,0.23709438583002893
0.20400000000000001,0.796,0.6207404082404082,0.2370946248287117
0.227,0.773,0.6196465696465696,0.23709473763041183
0.203,0.7969999999999999,0.6207262332262333,0.2370949983562475
0.228,0.772,0.6196182196182196,0.2370951209667912
0.202,0.798,0.6207852957852957,0.2370954034197799
0.229,0.771,0.6195733320733321,0.2370955358391671
0.201,0.7989999999999999,0.6208703458703458,0.23709584001930872
0.23,0.77,0.619516632016632,0.2370959822475394
0.2,0.8,0.6208750708750709,0.23709630815483398
0.231,0.769,0.6194670194670195,0.23709646019190822
0.199,0.8009999999999999,0.620974295974296,0.23709680782635575
0.232,0.768,0.6194055944055944,0.2370969696722734
0.198,0.802,0.6210239085239084,0.237097339033874
0.233,0.767,0.6193488943488944,0.23709751068863516
0.197,0.8029999999999999,0.6210546210546211,0.2370979017773887
0.234,0.766,0.6193323568323568,0.23709808324099335
0.196,0.804,0.6210924210924211,0.2370984960568999
0.23500000000000001,0.765,0.6192921942921943,0.23709868732934802
0.195,0.8049999999999999,0.6211278586278587,0.23709912187240756
0.23600000000000002,0.764,0.6192614817614817,0.23709932295369918
0.194,0.806,0.6211940086940086,0.2370997792239116
0.23700000000000002,0.763,0.6192189567189567,0.23709999011404678
0.193,0.8069999999999999,0.6212365337365338,0.23710046811141222
0.23800000000000002,0.762,0.6191575316575315,0.23710068881039084
0.192,0.808,0.6212885087885088,0.23710118853490925
0.23900000000000002,0.761,0.6191268191268191,0.23710141904273133
0.191,0.8089999999999999,0.6213357588357589,0.23710194049440278
0.24,0.76,0.6190535815535815,0.23710218081106837
0.19,0.81,0.6213806463806464,0.23710272398989274
0.241,0.759,0.618985068985069,0.2371029741154019
0.189,0.8109999999999999,0.6214444339444338,0.2371035390213792
0.242,0.758,0.6188952938952939,0.23710379895573183
0.188,0.812,0.6214798714798715,0.23710438558886215
0.243,0.757,0.6188598563598563,0.23710465533205827
0.187,0.813,0.621529484029484,0.23710526369234153
0.244,0.756,0.6187771687771688,0.23710554324438116
0.186,0.8140000000000001,0.6215696465696465,0.2371061733318174
0.245,0.755,0.6187346437346437,0.23710646269270053
0.185,0.815,0.6216098091098092,0.23710711450728972
0.246,0.754,0.6186425061425062,0.23710741367701632
0.184,0.8160000000000001,0.6216641466641466,0.23710808721875856
0.247,0.753,0.6185881685881686,0.23710839619732862
0.183,0.817,0.6217255717255716,0.23710909146622383
0.248,0.752,0.618514931014931,0.23710941025363744
0.182,0.8180000000000001,0.6218058968058968,0.23711012724968558
0.249,0.751,0.618486580986581,0.23711045584594265
0.181,0.819,0.6218744093744094,0.23711119456914376
0.25,0.75,0.618420430920431,0.23711153297424434
0.18,0.8200000000000001,0.6219334719334719,0.2371122934245984
0.251,0.749,0.6183802683802684,0.2371126416385425
0.179,0.821,0.6219901719901719,0.23711342381604963
0.252,0.748,0.6183637308637309,0.23711378183883716
0.178,0.8220000000000001,0.6220303345303345,0.23711458574349725
0.253,0.747,0.6182952182952183,0.2371149535751283
0.177,0.823,0.6220634095634097,0.2371157792069413
0.254,0.746,0.6182125307125307,0.23711615684741585
