Elo(538-MOV)_weight,IP_weight,AUC,Brier
0.187,0.813,0.6211751086751087,0.2373194703049666
0.186,0.8140000000000001,0.6212010962010962,0.2373194732338385
0.188,0.812,0.6211302211302212,0.2373194963445718
0.185,0.815,0.6212743337743337,0.23731950513118744
0.189,0.8109999999999999,0.621064071064071,0.23731955135265412
0.184,0.8160000000000001,0.6213050463050462,0.2373195659970135
0.19,0.81,0.6210262710262711,0.23731963532921346
0.183,0.817,0.6213333963333963,0.2373196558313166
0.191,0.8089999999999999,0.6209790209790209,0.23731974827424993
0.182,0.8180000000000001,0.6214349839349839,0.2373197746340968
0.192,0.808,0.620931770931771,0.23731989018776342
0.181,0.819,0.6214751464751465,0.2373199224053541
0.193,0.8069999999999999,0.6208490833490834,0.23732006106975398
0.18,0.8200000000000001,0.6215318465318466,0.23732009914508848
0.194,0.806,0.6208136458136457,0.23732026092022174
0.179,0.821,0.6215790965790966,0.2373203048532999
0.195,0.8049999999999999,0.6207711207711208,0.2373204897391665
0.178,0.8220000000000001,0.6216287091287092,0.23732053952998847
0.196,0.804,0.6207285957285957,0.23732074752658835
0.177,0.823,0.6216570591570592,0.23732080317515403
0.197,0.8029999999999999,0.6206506331506332,0.2373210342824873
0.176,0.8240000000000001,0.6216783216783217,0.23732109578879676
0.198,0.802,0.6206010206010206,0.2373213500068633
0.17500000000000002,0.825,0.6217208467208467,0.23732141737091655
0.199,0.8009999999999999,0.620541958041958,0.23732169469971634
0.17400000000000002,0.826,0.6217279342279343,0.23732176792151335
0.2,0.8,0.6205041580041579,0.23732206836104655
0.17300000000000001,0.827,0.6217846342846343,0.23732214744058736
0.201,0.7989999999999999,0.6204758079758079,0.23732247099085382
0.17200000000000001,0.828,0.6218460593460593,0.23732255592813833
0.202,0.798,0.6203694953694954,0.23732290258913818
0.171,0.829,0.621924021924022,0.23732299338416643
0.203,0.7969999999999999,0.6202726327726328,0.23732336315589958
0.17,0.83,0.621999621999622,0.23732345980867162
0.20400000000000001,0.796,0.6202253827253827,0.23732385269113807
0.169,0.831,0.622056322056322,0.23732395520165386
0.20500000000000002,0.7949999999999999,0.6201615951615952,0.23732437119485367
0.168,0.832,0.6221059346059347,0.23732447956311323
0.20600000000000002,0.794,0.6201214326214326,0.23732491866704628
0.167,0.833,0.6221673596673597,0.23732503289304968
0.20700000000000002,0.7929999999999999,0.6200741825741826,0.23732549510771606
0.166,0.834,0.6222429597429597,0.2373256151914632
0.20800000000000002,0.792,0.62002457002457,0.23732610051686287
0.165,0.835,0.6222807597807598,0.23732622645835372
0.209,0.791,0.6200033075033076,0.23732673489448683
0.164,0.836,0.6223516348516348,0.2373268666937214
0.21,0.79,0.61995841995842,0.23732739824058777
0.163,0.837,0.6224106974106973,0.23732753589756614
0.211,0.789,0.6199040824040825,0.23732809055516582
0.162,0.838,0.6224626724626725,0.23732823406988796
0.212,0.788,0.6198521073521074,0.237328811838221
0.161,0.839,0.6225382725382724,0.23732896121068686
0.213,0.787,0.6197954072954073,0.23732956208975323
0.16,0.84,0.6225642600642601,0.23732971731996289
0.214,0.786,0.6197387072387073,0.23733034130976255
0.159,0.841,0.6226044226044226,0.23733050239771597
0.215,0.785,0.6196749196749196,0.23733114949824896
0.158,0.842,0.6226256851256851,0.23733131644394612
0.216,0.784,0.6196442071442072,0.2373319866552124
0.157,0.843,0.6226729351729352,0.23733215945865335
0.217,0.783,0.6196040446040446,0.23733285278065297
0.156,0.844,0.6227296352296352,0.23733303144183768
0.218,0.782,0.619544982044982,0.2373337478745706
0.155,0.845,0.6227485352485352,0.23733393239349904
0.219,0.781,0.619493006993007,0.23733467193696528
0.154,0.846,0.6228099603099603,0.23733486231363754
0.22,0.78,0.6194032319032319,0.2373356249678371
0.153,0.847,0.6228619353619353,0.2373358212022531
0.221,0.779,0.6193630693630694,0.23733660696718598
0.152,0.848,0.622883197883198,0.23733680905934576
0.222,0.778,0.6193323568323569,0.23733761793501196
0.151,0.849,0.622949347949348,0.23733782588491545
0.223,0.777,0.6192803817803818,0.237338657871315
0.15,0.85,0.6229942354942355,0.23733887167896223
0.224,0.776,0.6192284067284067,0.2373397267760951
0.149,0.851,0.623006048006048,0.23733994644148615
0.225,0.775,0.6191693441693442,0.2373408246493523
0.148,0.852,0.623020223020223,0.23734105017248708
0.226,0.774,0.6190890190890191,0.23734195149108658
0.147,0.853,0.623100548100548,0.23734218287196518
0.227,0.773,0.6190181440181439,0.23734310730129796
0.146,0.854,0.6231359856359856,0.2373433445399203
0.228,0.772,0.618989793989794,0.23734429207998645
0.145,0.855,0.6231926856926857,0.23734453517635248
0.229,0.771,0.6189449064449064,0.23734550582715194
0.14400000000000002,0.856,0.6232281232281233,0.2373457547812618
0.23,0.77,0.6188787563787563,0.23734674854279456
0.14300000000000002,0.857,0.6232871857871858,0.23734700335464817
0.231,0.769,0.6188173313173313,0.23734802022691426
0.14200000000000002,0.858,0.6233344358344358,0.2373482808965116
0.232,0.768,0.6187677187677189,0.23734932087951105
0.14100000000000001,0.859,0.6233415233415234,0.23734958740685216
0.233,0.767,0.6187204687204688,0.23735065050058493
0.14,0.86,0.6234053109053108,0.23735092288566978
0.234,0.766,0.6186873936873938,0.23735200909013582
0.139,0.861,0.6234785484785486,0.23735228733296448
0.23500000000000001,0.765,0.6186117936117936,0.23735339664816385
0.138,0.862,0.6235588735588736,0.23735368074873625
0.23600000000000002,0.764,0.6185503685503685,0.23735481317466894
0.137,0.863,0.623589586089586,0.23735510313298508
0.23700000000000002,0.763,0.6184865809865809,0.2373562586696511
0.136,0.864,0.6236155736155736,0.23735655448571105
0.23800000000000002,0.762,0.6184416934416934,0.23735773313311037
0.135,0.865,0.6236557361557362,0.2373580348069141
0.23900000000000002,0.761,0.6183873558873558,0.23735923656504676
0.134,0.866,0.6237124362124362,0.23735954409659415
0.24,0.76,0.6183471933471933,0.23736076896546013
0.133,0.867,0.6237620487620488,0.23736108235475137
0.241,0.759,0.6182904932904933,0.23736233033435067
0.132,0.868,0.6238234738234738,0.23736264958138564
0.242,0.758,0.6182432432432432,0.23736392067171824
0.131,0.869,0.6238352863352863,0.23736424577649698
0.243,0.757,0.6181652806652806,0.2373655399775629
0.13,0.87,0.6238589113589114,0.23736587094008543
0.244,0.756,0.6180944055944056,0.23736718825188466
0.129,0.871,0.6239226989226989,0.23736752507215092
0.245,0.755,0.618044793044793,0.2373688654946835
0.128,0.872,0.6239439614439615,0.2373692081726935
0.246,0.754,0.618002268002268,0.2373705717059594
0.127,0.873,0.6239864864864865,0.23737092024171316
0.247,0.753,0.6179432054432055,0.2373723068857124
0.126,0.874,0.624078624078624,0.23737266127920992
0.248,0.752,0.6179290304290304,0.23737407103394248
0.125,0.875,0.6241447741447741,0.2373744312851838
0.249,0.751,0.617898317898318,0.23737586415064965
0.124,0.876,0.6242156492156492,0.23737623025963467
0.25,0.75,0.6178628803628803,0.23737768623583386
0.123,0.877,0.6242936117936119,0.23737805820256266
0.251,0.749,0.6178061803061803,0.23737953728949518
0.122,0.878,0.6243479493479493,0.23737991511396775
0.252,0.748,0.6177471177471178,0.23738141731163362
0.121,0.879,0.6244235494235494,0.23738180099384992
0.253,0.747,0.6177353052353052,0.23738332630224906
0.12,0.88,0.6244660744660746,0.2373837158422091
0.254,0.746,0.6177140427140426,0.2373852642613416
0.11900000000000001,0.881,0.6244849744849745,0.23738565965904548
0.255,0.745,0.6176384426384427,0.23738723118891125
0.11800000000000001,0.882,0.6245227745227746,0.23738763244435887
0.256,0.744,0.6175959175959176,0.23738922708495797
0.117,0.883,0.624586562086562,0.23738963419814937
0.257,0.743,0.61756048006048,0.23739125194948177
0.116,0.884,0.6246219996219996,0.23739166492041688
0.258,0.742,0.6174777924777924,0.2373933057824827
0.115,0.885,0.6246952371952372,0.2373937246111616
0.259,0.741,0.6174092799092799,0.23739538858396064
0.114,0.886,0.6247164997164998,0.23739581327038328
0.26,0.74,0.6173384048384047,0.23739750035391569
0.113,0.887,0.6247684747684747,0.23739793089808212
0.261,0.739,0.6172651672651672,0.23739964109234787
0.112,0.888,0.6248511623511623,0.23740007749425798
0.262,0.738,0.6172415422415423,0.23740181079925704
0.111,0.889,0.6248936873936874,0.23740225305891094
0.263,0.737,0.6171753921753922,0.23740400947464332
0.11,0.89,0.624957474957475,0.23740445759204098
0.264,0.736,0.6171139671139672,0.2374062371185067
0.109,0.891,0.6250023625023624,0.23740669109364815
0.265,0.735,0.6170312795312796,0.23740849373084716
0.108,0.892,0.6250259875259875,0.23740895356373237
0.266,0.734,0.616967491967492,0.2374107793116647
0.107,0.893,0.6250590625590625,0.23741124500229369
0.267,0.733,0.6169013419013418,0.2374130938609593
0.106,0.894,0.6250756000756001,0.23741356540933203
0.268,0.732,0.6168351918351919,0.23741543737873103
0.105,0.895,0.6250992250992251,0.23741591478484753
0.269,0.731,0.6167572292572292,0.23741780986497982
0.10400000000000001,0.896,0.6251181251181251,0.23741829312884005
0.27,0.73,0.6166910791910792,0.23742021131970564
0.10300000000000001,0.897,0.6251842751842752,0.23742070044130964
0.271,0.729,0.6166225666225666,0.23742264174290856
0.10200000000000001,0.898,0.6252433377433377,0.23742313672225634
0.272,0.728,0.616535154035154,0.23742510113458862
0.101,0.899,0.6252527877527877,0.23742560197168014
0.273,0.727,0.616487903987904,0.23742758949474577
0.1,0.9,0.6253071253071254,0.23742809618958102
0.274,0.726,0.6163910413910414,0.23743010682337992
0.099,0.901,0.6253638253638254,0.23743061937595897
0.275,0.725,0.6163319788319788,0.23743265312049117
0.098,0.902,0.6253803628803629,0.237433171530814
0.276,0.724,0.6162445662445664,0.23743522838607953
0.097,0.903,0.6254016254016255,0.2374357526541461
0.277,0.723,0.6161666036666036,0.23743783262014492
0.096,0.904,0.625474862974863,0.23743836274595526
