Combination,Opt_by,w1,w2,AUC,Brier
Elo(538-MOV) + IP,Brier,0.187,0.813,0.6211751086751087,0.2373194703049666
Elo(538-MOV) + IP,AUC,0.0,1.0,0.6297427234927235,0.23782380878892762
Elo(basic) + IP,Brier,0.215,0.785,0.6201545076545076,0.23709259740158387
Elo(basic) + IP,AUC,0.0,1.0,0.6297427234927235,0.23782380878892762
J-A-Elo + IP,Brier,0.20500000000000002,0.7949999999999999,0.6203151578151578,0.2371612877544843
J-A-Elo + IP,AUC,0.0,1.0,0.6297427234927235,0.23782380878892762
Log-Elo + IP,Brier,0.148,0.852,0.6217893592893593,0.23746279005493318
Log-Elo + IP,AUC,0.0,1.0,0.6297427234927235,0.23782380878892762
Lin-Elo + IP,Brier,0.08600000000000001,0.914,0.6246975996975997,0.23769225728406868
Lin-Elo + IP,AUC,0.0,1.0,0.6297427234927235,0.23782380878892762
Mult-Elo + IP,Brier,0.08600000000000001,0.914,0.6247141372141372,0.237686605043167
Mult-Elo + IP,AUC,0.0,1.0,0.6297427234927235,0.23782380878892762
Elo(538-MOV) + BS,Brier,0.23700000000000002,0.763,0.6174966924966925,0.2370551863181824
Elo(538-MOV) + BS,AUC,0.0,1.0,0.6249515687015686,0.23800702378399022
Elo(basic) + BS,Brier,0.242,0.758,0.6172580797580798,0.23701478595457415
Elo(basic) + BS,AUC,0.0,1.0,0.6249515687015686,0.23800702378399022
IP + BS,Brier,0.536,0.46399999999999997,0.6302388489888491,0.23727856138215092
IP + BS,AUC,0.643,0.357,0.6309192496692496,0.23730749440875792
