w1,w2,AUC,Brier
0.0,1.0,0.6249515687015686,0.23800702378399022
0.001,0.999,0.6249007749007749,0.23799882413604123
0.002,0.998,0.6248889623889624,0.23799065850876966
0.003,0.997,0.6248747873747874,0.2379825269021755
0.004,0.996,0.6248582498582498,0.23797442931625878
0.005,0.995,0.6248582498582498,0.23796636575101948
0.006,0.994,0.6248086373086373,0.23795833620645757
0.007,0.993,0.6247991872991873,0.23795034068257312
0.008,0.992,0.6248039123039124,0.23794237917936603
0.009000000000000001,0.991,0.6247755622755622,0.2379344516968364
0.01,0.99,0.6247661122661122,0.23792655823498418
0.011,0.989,0.6247826497826499,0.23791869879380936
0.012,0.988,0.6247590247590248,0.23791087337331202
0.013000000000000001,0.987,0.6247306747306747,0.23790308197349205
0.014,0.986,0.6247164997164997,0.2378953245943495
0.015,0.985,0.6246645246645246,0.23788760123588443
0.016,0.984,0.6246479871479871,0.2378799118980967
0.017,0.983,0.6246479871479872,0.23787225658098643
0.018000000000000002,0.982,0.6246172746172747,0.23786463528455354
0.019,0.981,0.6245983745983745,0.23785704800879814
0.02,0.98,0.6245747495747496,0.23784949475372008
0.021,0.979,0.6245416745416745,0.23784197551931952
0.022,0.978,0.6245038745038745,0.2378344903055963
0.023,0.977,0.6245062370062369,0.2378270391125506
0.024,0.976,0.6245062370062371,0.23781962194018222
0.025,0.975,0.6244684369684369,0.23781223878849134
0.026000000000000002,0.974,0.6244211869211869,0.23780488965747779
0.027,0.973,0.6244093744093744,0.23779757454714176
0.028,0.972,0.6244022869022869,0.2377902934574831
0.029,0.971,0.6243857493857494,0.23778304638850184
0.03,0.97,0.6243432243432243,0.23777583334019806
0.031,0.969,0.6242912492912492,0.2377686543125716
0.032,0.968,0.6242605367605367,0.23776150930562268
0.033,0.967,0.6242392742392742,0.23775439831935105
0.034,0.966,0.6242439992439992,0.23774732135375695
0.035,0.965,0.6242156492156492,0.2377402784088402
0.036000000000000004,0.964,0.6241683991683992,0.2377332694846009
0.037,0.963,0.6241329616329616,0.23772629458103905
0.038,0.962,0.6241140616140616,0.23771935369815458
0.039,0.961,0.6240998865998866,0.23771244683594756
0.04,0.96,0.6240762615762616,0.23770557399441794
0.041,0.959,0.6240762615762616,0.23769873517356574
0.042,0.958,0.6240384615384615,0.23769193037339095
0.043000000000000003,0.957,0.6240384615384615,0.23768515959389355
0.044,0.956,0.624036099036099,0.23767842283507365
0.045,0.955,0.6240384615384615,0.23767172009693113
0.046,0.954,0.6239746739746739,0.23766505137946603
0.047,0.953,0.6239510489510489,0.23765841668267834
0.048,0.952,0.6239179739179739,0.23765181600656807
0.049,0.951,0.6238825363825363,0.23764524935113523
0.05,0.95,0.6238825363825363,0.2376387167163798
0.051000000000000004,0.949,0.6238825363825364,0.2376322181023018
0.052000000000000005,0.948,0.6239226989226989,0.2376257535089012
0.053,0.947,0.6239226989226989,0.23761932293617807
0.054,0.946,0.6238801738801738,0.2376129263841323
0.055,0.945,0.6238211113211114,0.237606563852764
0.056,0.944,0.6237644112644113,0.2376002353420731
0.057,0.943,0.6237171612171613,0.23759394085205962
0.058,0.942,0.6236888111888113,0.2375876803827236
0.059000000000000004,0.941,0.623617936117936,0.2375814539340649
0.06,0.94,0.6235730485730486,0.23757526150608368
0.061,0.9390000000000001,0.6235352485352486,0.23756910309877988
0.062,0.938,0.6235163485163486,0.23756297871215354
0.063,0.937,0.623485635985636,0.23755688834620453
0.064,0.9359999999999999,0.6234832734832735,0.237550832000933
0.065,0.935,0.6234549234549235,0.23754480967633887
0.066,0.9339999999999999,0.6234431109431109,0.2375388213724222
0.067,0.933,0.6234053109053109,0.23753286708918286
0.068,0.9319999999999999,0.6233934983934983,0.23752694682662107
0.069,0.931,0.6233816858816859,0.2375210605847366
0.07,0.9299999999999999,0.6233297108297108,0.23751520836352957
0.07100000000000001,0.929,0.6232800982800983,0.23750939016299993
0.07200000000000001,0.9279999999999999,0.6232352107352106,0.2375036059831478
0.073,0.927,0.6232233982233982,0.237497855823973
0.074,0.926,0.6231903231903232,0.23749213968547567
0.075,0.925,0.623128898128898,0.2374864575676557
0.076,0.924,0.6230698355698355,0.2374808094705132
0.077,0.923,0.6230792855792855,0.2374751953940481
0.078,0.922,0.6229706104706105,0.23746961533826047
0.079,0.921,0.6229398979398979,0.2374640693031502
0.08,0.92,0.6228950103950104,0.23745855728871743
0.081,0.919,0.6228595728595728,0.23745307929496198
0.082,0.918,0.6228713853713853,0.23744763532188398
0.083,0.917,0.6228335853335853,0.23744222536948342
0.084,0.916,0.6227934227934229,0.23743684943776033
0.085,0.915,0.6227414477414477,0.23743150752671457
0.08600000000000001,0.914,0.6227201852201854,0.23742619963634626
0.08700000000000001,0.913,0.6227012852012852,0.2374209257666554
0.088,0.912,0.6226918351918351,0.23741568591764192
0.089,0.911,0.6226587601587602,0.2374104800893059
0.09,0.91,0.6226351351351351,0.23740530828164724
0.091,0.909,0.6226138726138726,0.237400170494666
0.092,0.908,0.6225760725760726,0.23739506672836225
0.093,0.907,0.62255481005481,0.23738999698273588
0.094,0.906,0.6225264600264601,0.23738496125778696
0.095,0.905,0.62247920997921,0.23737995955351543
0.096,0.904,0.6224484974484974,0.2373749918699213
0.097,0.903,0.6224272349272348,0.23737005820700458
0.098,0.902,0.6223823473823473,0.2373651585647653
0.099,0.901,0.6223421848421848,0.23736029294320346
0.1,0.9,0.6223350973350973,0.23735546134231905
0.101,0.899,0.6222925722925723,0.237350663762112
0.10200000000000001,0.898,0.6222571347571347,0.23734590020258248
