team,method,first_rating,second_rating,difference,ratio,abs_ratio,rank
panama,Elo-Basic,1467.2435412451637,1313.765492637023,153.47804860814063,1.1168230170972717,1.1168230170972717,1
guatemala,Elo-Basic,1495.564370022996,1354.2439191819503,141.3204508410456,1.1043537643694292,1.1043537643694292,2
netherlands,Elo-Basic,1486.637864394928,1359.9921591498123,126.64570524511578,1.093122378973337,1.093122378973337,3
iceland,Elo-Basic,1480.9299511192444,1376.9921120262836,103.93783909296076,1.0754817970162611,1.0754817970162611,4
peru,Elo-Basic,1524.6461595785304,1433.218818678799,91.42734089973146,1.063791613470449,1.063791613470449,5
usa,Elo-Basic,1481.9179204004465,1392.1492996266302,89.76862077381634,1.0644820356537132,1.0644820356537132,6
new_zealand,Elo-Basic,1480.842362092604,1400.4987009677902,80.3436611248137,1.0573678940718,1.0573678940718,7
indonesia,Elo-Basic,1433.0660115503542,1352.81236677398,80.25364477637413,1.0593235593844792,1.0593235593844792,8
mongolia,Elo-Basic,1365.9003737576859,1287.7741885752894,78.12618518239651,1.0606676122844412,1.0606676122844412,9
south_korea,Elo-Basic,1509.1398610508381,1450.581631263494,58.55822978734409,1.0403687931277183,1.0403687931277183,10
uk,Elo-Basic,1507.3542602887092,1457.0184957405495,50.33576454815966,1.0345471005998286,1.0345471005998286,11
morocco,Elo-Basic,1496.3948325728659,1449.6254188750609,46.76941369780502,1.0322631026531661,1.0322631026531661,12
brazil,Elo-Basic,1556.9057435282923,1513.5204910064406,43.385252521851726,1.0286651239805824,1.0286651239805824,13
kazakhstan,Elo-Basic,1335.9226310290117,1297.600473698193,38.322157330818754,1.0295330944366872,1.0295330944366872,14
oman,Elo-Basic,1493.65066842961,1461.5675645396657,32.08310388994437,1.0219511602941524,1.0219511602941524,15
france,Elo-Basic,1414.188955114026,1385.3695515043307,28.8194036096952,1.020802682994152,1.020802682994152,16
singapore,Elo-Basic,1422.3496190936912,1396.170601325521,26.179017768170297,1.0187505865997437,1.0187505865997437,17
rwanda,Elo-Basic,1491.195256454224,1466.2375630442903,24.957693409933654,1.017021589160569,1.017021589160569,18
philippines,Elo-Basic,1379.541086120015,1356.0020217696795,23.539064350335593,1.0173591661165928,1.0173591661165928,19
china,Elo-Basic,1507.4709489636573,1486.591249515047,20.87969944861038,1.0140453533918095,1.0140453533918095,20
uae,Elo-Basic,1429.7984348099435,1423.8374328907678,5.961001919175715,1.0041865748023446,1.0041865748023446,21
saudi_arabia,Elo-Basic,1399.079166645625,1398.4469175236459,0.6322491219791573,1.0004521080593454,1.0004521080593454,22
canada,Elo-Basic,1373.3966097030063,1392.1756779437242,-18.779068240717834,0.9865109924428108,0.9865109924428108,23
pakistan,Elo-Basic,1477.310520880598,1516.6215158252057,-39.31099494460773,0.974079891037799,0.974079891037799,24
germany,Elo-Basic,1370.693368158089,1410.5091359253029,-39.815767767213856,0.9717720596392349,0.9717720596392349,25
mexico,Elo-Basic,1467.0494084149966,1510.9837384895443,-43.93433007454769,0.9709233600895886,0.9709233600895886,26
switzerland,Elo-Basic,1344.550416501452,1398.4589572339871,-53.90854073253513,0.9614514673786632,0.9614514673786632,27
serbia,Elo-Basic,1452.8967506452914,1509.0416556910727,-56.14490504578134,0.9627943305381657,0.9627943305381657,28
india,Elo-Basic,1383.8461907089875,1442.2038020364862,-58.35761132749872,0.9595358081534011,0.9595358081534011,29
vietnam,Elo-Basic,1322.0407892089809,1415.289631659697,-93.24884245071621,0.9341132441270242,0.9341132441270242,30
thailand,Elo-Basic,1431.0325082105035,1526.4603592604583,-95.42785104995482,0.9374842258621194,0.9374842258621194,31
ethiopia,Elo-Basic,1387.1597837829008,1496.1629057231391,-109.00312194023832,0.9271448840742686,0.9271448840742686,32
panama,Elo-XG,1484.3077466729223,1361.7791290141329,122.52861765878947,1.089976865593097,1.089976865593097,1
guatemala,Elo-XG,1500.0722234735006,1381.1219753956595,118.95024807784102,1.0861258094483397,1.0861258094483397,2
netherlands,Elo-XG,1494.857359946604,1384.842112817547,110.01524712905689,1.0794424477063482,1.0794424477063482,3
uk,Elo-XG,1511.6438711140463,1420.6229532066495,91.02091790739678,1.0640711299940235,1.0640711299940235,4
peru,Elo-XG,1520.6984495581146,1432.2936097273168,88.40483983079775,1.0617225680757094,1.0617225680757094,5
usa,Elo-XG,1465.8098605439734,1379.4325394514856,86.37732109248782,1.0626180103934875,1.0626180103934875,6
new_zealand,Elo-XG,1481.042880990387,1400.272344582608,80.77053640777899,1.0576820193016487,1.0576820193016487,7
iceland,Elo-XG,1470.0627462952343,1390.4422943385773,79.620451956657,1.0572626798543494,1.0572626798543494,8
south_korea,Elo-XG,1509.0903450539695,1436.6897132510899,72.40063180287962,1.050394062917764,1.050394062917764,9
indonesia,Elo-XG,1427.5049886924674,1360.1785008722811,67.32648782018623,1.049498273775839,1.049498273775839,10
france,Elo-XG,1437.6045555940786,1372.18558514704,65.41897044703865,1.0476750165248445,1.0476750165248445,11
mongolia,Elo-XG,1355.304051813106,1303.5972925711499,51.706759241956206,1.0396646721626526,1.0396646721626526,12
brazil,Elo-XG,1539.2677378640449,1490.8437048397157,48.42403302432922,1.0324809588470814,1.0324809588470814,13
oman,Elo-XG,1489.4628890372849,1447.551158633312,41.9117304039728,1.0289535400210263,1.0289535400210263,14
singapore,Elo-XG,1438.9463238838596,1398.7143144600159,40.23200942384369,1.0287635645163005,1.0287635645163005,15
rwanda,Elo-XG,1486.2031342810267,1449.6159705916477,36.58716368937894,1.0252392112336113,1.0252392112336113,16
kazakhstan,Elo-XG,1354.184429517254,1320.4352558552364,33.74917366201771,1.0255591279560001,1.0255591279560001,17
morocco,Elo-XG,1472.2208836382904,1440.2629935440066,31.957890094283812,1.0221889267706907,1.0221889267706907,18
saudi_arabia,Elo-XG,1410.84519559311,1383.384339028972,27.460856564138112,1.019850489693568,1.019850489693568,19
philippines,Elo-XG,1394.6508686866696,1368.4087501007384,26.242118585931166,1.0191771052209357,1.0191771052209357,20
canada,Elo-XG,1402.358440428896,1387.716610180509,14.641830248387123,1.0105510232715904,1.0105510232715904,21
uae,Elo-XG,1419.2368430516979,1409.51592064987,9.72092240182792,1.006896638952007,1.006896638952007,22
china,Elo-XG,1487.033260223034,1481.9244324563376,5.108827766696322,1.0034474279894476,1.0034474279894476,23
mexico,Elo-XG,1486.0493286696894,1492.9469258101406,-6.897597140451126,0.9953798778635696,0.9953798778635696,24
germany,Elo-XG,1387.1168847792842,1396.5716384089847,-9.454753629700463,0.9932300260368515,0.9932300260368515,25
india,Elo-XG,1425.6587445648545,1435.5327557220364,-9.87401115718194,0.9931217096107183,0.9931217096107183,26
pakistan,Elo-XG,1491.232011009885,1504.6712797684,-13.439268758515027,0.9910683024663144,0.9910683024663144,27
switzerland,Elo-XG,1353.4755634062255,1381.318803862897,-27.843240456671538,0.9798430019349573,0.9798430019349573,28
serbia,Elo-XG,1450.2552946176866,1485.808535497929,-35.553240880242356,0.9760714519866938,0.9760714519866938,29
vietnam,Elo-XG,1337.386136247692,1391.4643127628353,-54.07817651514324,0.9611357790357068,0.9611357790357068,30
thailand,Elo-XG,1449.6327360184996,1529.7352434107154,-80.10250739221578,0.9476363588161711,0.9476363588161711,31
ethiopia,Elo-XG,1398.494703197161,1492.6887515763844,-94.19404837922343,0.9368963903025679,0.9368963903025679,32
uk,IP,0.03032118902439024,-0.022614634146341465,0.052935823170731706,1.3407773403796375,1.3407773403796375,1
saudi_arabia,IP,0.00908125,-0.03262743902439025,0.04170868902439025,0.27833168252069745,0.27833168252069745,2
new_zealand,IP,0.02236875,-0.018103658536585368,0.04047240853658537,1.235592792185921,1.235592792185921,3
france,IP,0.01164405487804878,-0.027422256097560976,0.03906631097560975,0.4246206014786814,0.4246206014786814,4
canada,IP,0.024197865853658535,-0.014087500000000001,0.038285365853658535,1.717683467872833,1.717683467872833,5
usa,IP,0.00901295731707317,-0.02821387195121951,0.03722682926829268,0.3194512732125587,0.3194512732125587,6
peru,IP,0.02848307926829268,-0.00827236641221374,0.03675544568050642,3.4431597742380973,3.4431597742380973,7
panama,IP,0.016135670731707318,-0.019887957317073175,0.036023628048780496,0.8113287088491165,0.8113287088491165,8
iceland,IP,0.01686082317073171,-0.018129115853658537,0.03498993902439025,0.9300411176604136,0.9300411176604136,9
mongolia,IP,-0.028081250000000002,-0.062379878048780486,0.034298628048780484,0.4501651955465627,0.4501651955465627,10
indonesia,IP,-0.012731097560975608,-0.04569542682926829,0.03296432926829268,0.2786076954383811,0.2786076954383811,11
kazakhstan,IP,-0.01427560975609756,-0.04659053435114504,0.03231492459504748,0.30640579583193195,0.30640579583193195,12
uae,IP,-0.00771890243902439,-0.03926783536585366,0.03154893292682927,0.19657061223539093,0.19657061223539093,13
brazil,IP,0.0543766768292683,0.023761737804878048,0.03061493902439025,2.28841330023031,2.28841330023031,14
guatemala,IP,0.031152591463414633,0.0011539634146341463,0.029998628048780486,26.996169088507266,26.996169088507266,15
netherlands,IP,0.020231707317073175,-0.007773170731707318,0.028004878048780494,2.602761217445874,2.602761217445874,16
south_korea,IP,0.032751219512195125,0.008795121951219516,0.02395609756097561,3.723793677204658,3.723793677204658,17
rwanda,IP,0.012313719512195122,-0.01123064024390244,0.02354435975609756,1.0964396726073322,1.0964396726073322,18
oman,IP,0.018716920731707318,-0.004348475609756099,0.023065396341463415,4.304248755521278,4.304248755521278,19
serbia,IP,0.017008384146341465,-0.006021646341463415,0.02303003048780488,2.8245405295934383,2.8245405295934383,20
philippines,IP,-0.014027896341463413,-0.03475198170731707,0.020724085365853656,0.4036574506630171,0.4036574506630171,21
mexico,IP,0.036577286585365854,0.01684359756097561,0.019733689024390242,2.171583977410538,2.171583977410538,22
singapore,IP,-0.007057317073170733,-0.019790853658536584,0.01273353658536585,0.3565948793788706,0.3565948793788706,23
vietnam,IP,-0.008820579268292682,-0.020903048780487803,0.012082469512195122,0.4219757299962078,0.4219757299962078,24
morocco,IP,0.009565853658536586,-0.0024719512195121945,0.01203780487804878,3.8697582634435137,3.8697582634435137,25
india,IP,0.004631554878048781,-0.006883536585365852,0.011515091463414633,0.672845247586146,0.672845247586146,26
switzerland,IP,-0.005519664634146341,-0.01681204268292683,0.011292378048780489,0.328316120666987,0.328316120666987,27
china,IP,0.02365426829268293,0.012381554878048779,0.01127271341463415,1.9104440860347442,1.9104440860347442,28
pakistan,IP,0.03878048780487805,0.037353048780487806,0.0014274390243902424,1.038214792928386,1.038214792928386,29
germany,IP,-0.018139481707317072,-0.008582926829268292,-0.00955655487804878,2.1134377664109123,2.1134377664109123,30
ethiopia,IP,-0.015587652439024388,0.0038388719512195122,-0.0194265243902439,-4.060477306119207,4.060477306119207,31
thailand,IP,0.028268902439024395,0.05447545731707317,-0.026206554878048776,0.5189291440820016,0.5189291440820016,32
brazil,B-Score,0.12500000000000006,0.12499999999999932,7.355227538141662e-16,1.000000000000006,1.000000000000006,1
canada,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,2
usa,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,3
uk,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,4
uae,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,5
thailand,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,6
switzerland,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,7
south_korea,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,8
singapore,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,9
