Ensemble_Rank,Team,Elo-Basic,Elo-XG,IP,B-Score,XG/60,XG-Diff/60,Avg_Rank,Std_Dev
1,usa,6,6,6,3,2,5,4.666666666666667,1.7511900715418263
2,uk,11,4,1,4,11,1,5.333333333333333,4.589843860815602
3,panama,1,1,8,15,9,9,7.166666666666667,5.382068994974579
4,new_zealand,7,7,3,18,8,2,7.5,5.683308895353129
5,peru,5,5,7,14,10,10,8.5,3.5071355833500366
6,iceland,4,8,9,26,4,7,9.666666666666666,8.262364471909155
7,saudi_arabia,22,19,2,11,5,3,10.333333333333334,8.524474568362947
8,guatemala,2,2,15,27,1,15,10.333333333333334,10.462631918722298
9,france,16,11,4,29,3,4,11.166666666666666,10.107752800037536
10,netherlands,3,3,16,19,16,16,12.166666666666666,7.194905605125523
11,south_korea,10,9,17,8,15,18,12.833333333333334,4.355073669487885
12,canada,23,21,5,2,21,6,13.0,9.612491872558333
13,brazil,13,13,14,1,26,13,13.333333333333334,7.916228058025277
14,mongolia,9,12,10,21,20,8,13.333333333333334,5.715476066494083
15,uae,21,22,13,5,7,14,13.666666666666666,6.97614984548545
16,indonesia,8,10,11,24,27,11,15.166666666666666,8.134289561274953
17,rwanda,18,16,18,12,12,17,15.5,2.8106938645110393
18,singapore,17,15,23,9,6,23,15.5,7.035623639735144
19,kazakhstan,14,17,12,23,22,12,16.666666666666668,4.88535225614967
20,oman,15,14,19,17,25,19,18.166666666666668,3.9200340134578764
21,philippines,19,20,21,13,23,21,19.5,3.449637662132068
22,serbia,28,29,20,10,14,20,20.166666666666668,7.494442385305705
23,morocco,12,18,25,20,24,25,20.666666666666668,5.125101625008685
24,mexico,26,24,22,22,17,22,22.166666666666668,2.9944392908634274
25,pakistan,24,27,29,16,18,29,23.833333333333332,5.636192568273964
26,india,29,26,26,25,13,27,24.333333333333332,5.715476066494083
27,switzerland,27,28,27,7,31,26,24.333333333333332,8.66410218468519
28,china,20,23,28,31,19,28,24.833333333333332,4.875106836436168
29,thailand,31,31,32,6,29,32,26.833333333333332,10.264826674945205
30,germany,25,25,30,28,28,30,27.666666666666668,2.250925735484551
31,vietnam,30,30,24,32,30,24,28.333333333333332,3.444802848737017
32,ethiopia,32,32,31,30,32,31,31.333333333333332,0.816496580927726
