game_id,team,opponent,is_home,went_ot,goals_for,goals_against,reg_win,ot_win,reg_loss,ot_loss,points,win,loss,goal_diff
game_1,thailand,pakistan,1,0,1,3,0,0,1,0,0,0,1,-2
game_10,switzerland,kazakhstan,1,0,4,3,1,0,0,0,2,1,0,1
game_100,serbia,rwanda,1,0,4,5,0,0,1,0,0,0,1,-1
game_1000,brazil,netherlands,1,0,5,0,1,0,0,0,2,1,0,5
game_1001,india,morocco,1,0,2,3,0,0,1,0,0,0,1,-1
game_1002,peru,saudi_arabia,1,1,0,1,0,0,0,1,1,0,1,-1
game_1003,china,pakistan,1,0,4,3,1,0,0,0,2,1,0,1
game_1004,switzerland,uk,1,0,1,4,0,0,1,0,0,0,1,-3
game_1005,serbia,philippines,1,0,2,1,1,0,0,0,2,1,0,1
game_1006,germany,canada,1,0,5,1,1,0,0,0,2,1,0,4
game_1007,guatemala,ethiopia,1,0,4,2,1,0,0,0,2,1,0,2
game_1008,south_korea,oman,1,0,4,2,1,0,0,0,2,1,0,2
game_1009,mongolia,new_zealand,1,0,2,7,0,0,1,0,0,0,1,-5
game_101,canada,panama,1,0,2,4,0,0,1,0,0,0,1,-2
game_1010,netherlands,iceland,1,0,0,4,0,0,1,0,0,0,1,-4
game_1011,indonesia,uae,1,0,2,1,1,0,0,0,2,1,0,1
game_1012,mexico,usa,1,0,4,3,1,0,0,0,2,1,0,1
game_1013,panama,rwanda,1,0,5,1,1,0,0,0,2,1,0,4
game_1014,kazakhstan,france,1,0,1,6,0,0,1,0,0,0,1,-5
game_1015,brazil,singapore,1,1,5,4,0,1,0,0,2,1,0,1
game_1016,thailand,vietnam,1,0,3,1,1,0,0,0,2,1,0,2
game_1017,thailand,switzerland,1,0,5,0,1,0,0,0,2,1,0,5
game_1018,ethiopia,france,1,0,3,6,0,0,1,0,0,0,1,-3
game_1019,rwanda,germany,1,0,2,1,1,0,0,0,2,1,0,1
game_102,switzerland,ethiopia,1,1,4,3,0,1,0,0,2,1,0,1
game_1020,canada,saudi_arabia,1,0,5,3,1,0,0,0,2,1,0,2
game_1021,philippines,kazakhstan,1,1,1,0,0,1,0,0,2,1,0,1
game_1022,netherlands,india,1,0,2,3,0,0,1,0,0,0,1,-1
game_1023,iceland,uk,1,0,1,4,0,0,1,0,0,0,1,-3
game_1024,uae,new_zealand,1,0,2,5,0,0,1,0,0,0,1,-3
